Mnemonic            Summary
------------------------------------------------------------------------------------
AAA              ASCII Adjust After Addition
AAD              ASCII Adjust AX Before Division
AAM              ASCII Adjust AX After Multiply
AAS              ASCII Adjust AL After Subtraction
ADC              Add With Carry
ADCX             Unsigned Integer Addition of Two Operands With Carry Flag
ADD              Add
ADDPD            Add Packed Double Precision Floating-Point Values
ADDPS            Add Packed Single Precision Floating-Point Values
ADDSD            Add Scalar Double Precision Floating-Point Values
ADDSS            Add Scalar Single Precision Floating-Point Values
ADDSUBPD         Packed Double Precision Floating-Point Add/Subtract
ADDSUBPS         Packed Single Precision Floating-Point Add/Subtract
ADOX             Unsigned Integer Addition of Two Operands With Overflow Flag
AESDEC           Perform One Round of an AES Decryption Flow
AESDEC128KL      Perform Ten Rounds of AES Decryption Flow With Key Locker Using 128-BitKey
AESDEC256KL      Perform 14 Rounds of AES Decryption Flow With Key Locker Using 256-Bit Key
AESDECLAST       Perform Last Round of an AES Decryption Flow
AESDECWIDE128KL  Perform Ten Rounds of AES Decryption Flow With Key Locker on 8 BlocksUsing 128-Bit Key
AESDECWIDE256KL  Perform 14 Rounds of AES Decryption Flow With Key Locker on 8 BlocksUsing 256-Bit Key
AESENC           Perform One Round of an AES Encryption Flow
AESENC128KL      Perform Ten Rounds of AES Encryption Flow With Key Locker Using 128-Bit Key
AESENC256KL      Perform 14 Rounds of AES Encryption Flow With Key Locker Using 256-Bit Key
AESENCLAST       Perform Last Round of an AES Encryption Flow
AESENCWIDE128KL  Perform Ten Rounds of AES Encryption Flow With Key Locker on 8 BlocksUsing 128-Bit Key
AESENCWIDE256KL  Perform 14 Rounds of AES Encryption Flow With Key Locker on 8 BlocksUsing 256-Bit Key
AESIMC           Perform the AES InvMixColumn Transformation
AESKEYGENASSIST  AES Round Key Generation Assist
AND              Logical AND
ANDN             Logical AND NOT
ANDNPD           Bitwise Logical AND NOT of Packed Double Precision Floating-Point Values
ANDNPS           Bitwise Logical AND NOT of Packed Single Precision Floating-Point Values
ANDPD            Bitwise Logical AND of Packed Double Precision Floating-Point Values
ANDPS            Bitwise Logical AND of Packed Single Precision Floating-Point Values
ARPL             Adjust RPL Field of Segment Selector
BEXTR            Bit Field Extract
BLENDPD          Blend Packed Double Precision Floating-Point Values
BLENDPS          Blend Packed Single Precision Floating-Point Values
BLENDVPD         Variable Blend Packed Double Precision Floating-Point Values
BLENDVPS         Variable Blend Packed Single Precision Floating-Point Values
BLSI             Extract Lowest Set Isolated Bit
BLSMSK           Get Mask Up to Lowest Set Bit
BLSR             Reset Lowest Set Bit
BNDCL            Check Lower Bound
BNDCN            Check Upper Bound
BNDCU            Check Upper Bound
BNDLDX           Load Extended Bounds Using Address Translation
BNDMK            Make Bounds
BNDMOV           Move Bounds
BNDSTX           Store Extended Bounds Using Address Translation
BOUND            Check Array Index Against Bounds
BSF              Bit Scan Forward
BSR              Bit Scan Reverse
BSWAP            Byte Swap
BT               Bit Test
BTC              Bit Test and Complement
BTR              Bit Test and Reset
BTS              Bit Test and Set
BZHI             Zero High Bits Starting with Specified Bit Position
CALL             Call Procedure
CBW              Convert Byte to Word/Convert Word to Doubleword/Convert Doubleword toQuadword
CDQ              Convert Word to Doubleword/Convert Doubleword to Quadword
CDQE             Convert Byte to Word/Convert Word to Doubleword/Convert Doubleword toQuadword
CLAC             Clear AC Flag in EFLAGS Register
CLC              Clear Carry Flag
CLD              Clear Direction Flag
CLDEMOTE         Cache Line Demote
CLFLUSH          Flush Cache Line
CLFLUSHOPT       Flush Cache Line Optimized
CLI              Clear Interrupt Flag
CLRSSBSY         Clear Busy Flag in a Supervisor Shadow Stack Token
CLTS             Clear Task-Switched Flag in CR0
CLUI             Clear User Interrupt Flag
CLWB             Cache Line Write Back
CMC              Complement Carry Flag
CMOVcc           Conditional Move
CMP              Compare Two Operands
CMPPD            Compare Packed Double Precision Floating-Point Values
CMPPS            Compare Packed Single Precision Floating-Point Values
CMPS             Compare String Operands
CMPSB            Compare String Operands
CMPSD            Compare String Operands
CMPSD (1)        Compare Scalar Double Precision Floating-Point Value
CMPSQ            Compare String Operands
